Reef,Site,Zone,Site_Type,Site_code,Plot_ID,ID_2021,ID_2022,Class_2021,Class_2022,Area_2021,Area_2022,AreaChange,Note_2021,to_use_2021,Note_2022,to_use_for_growth,Survival
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,23,12,Spis,Spis,0.00318715,0.003187348,1.99E-07,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,28,27,Spis,Spis,0.002519998,0.002520155,1.57E-07,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,9,0,Pmas,Pmas,0.00317107,0.003558234,0.000387164,"v,1",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,12,3,Pmas,Pmas,0.005282533,0.005717985,0.000435452,"v,0",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,0,23,Pmas,Pmas,0.004783302,0.005311475,0.000528173,"v,7",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,1,7,Pmas,Pmas,0.001700511,0.001935934,0.000235423,"v,2",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,20,9,Pmas,Pmas,0.003611135,0.003728724,0.000117589,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,21,10,Pmas,Pmas,0.007079672,0.008097235,0.001017564,"v,9",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,19,8,Pmas,Pmas,0.003052136,0.002785817,-0.000266319,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,16,4,Pmas,Pmas,0.00292472,0.003036341,0.00011162,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,29,31,Pmas,Pmas,0.017493426,0.019219744,0.001726317,"v,4",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,31,35,Pmas,Pmas,0.028564114,0.028770161,0.000206048,"v,3",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,25,24,Pmas,Pmas,0.004456507,0.003693567,-0.00076294,"v,5",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,27,26,Pmas,Pmas,0.00303205,0.002962942,-6.91E-05,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,26,25,Pmas,Pmas,0.002238495,0.002505613,0.000267117,,yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,22,11,Pmas,Pmas,0.014938073,0.016594361,0.001656288,,yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,2,18,Pmas,Pmas,0.001999654,0.001607951,-0.000391702,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,18,5,Pver,Pver,0.015969276,0.015971765,2.49E-06,"v,25",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,30,32,Pver,Pver,0.013698374,0.015078987,0.001380613,"v,19",yes,,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,3,29,Pver,Pver,0.028660603,0.028662389,1.79E-06,"v,12",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,24,14,Pver,Pver,0.053711661,0.053716966,5.30E-06,,yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,4,19,Spis,Spis,0.011994575,0.008077566,-0.003917009,"v,13",yes,pm,yes,1
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,5,16,Spis,Spis,0.00149397,0.001493764,-2.06E-07,"v,8",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,6,15,Spis,Spis,0.008412017,0.008411691,-3.26E-07,"v,11",yes,bad,no,NA
OCCH,BA1,S,BA,OCCH_BA1_S,OCCH_BA1S_P3,7,17,Amil,Amil,0.023226805,0.025373042,0.002146237,"v,26",yes,,yes,1
