site_code,plot_id,transect,abund,genus_species
OCDA_FR1S,OCDA_FR1S_P3,3,5,Pomacentrus lepidogenys
OCDA_FR1S,OCDA_FR1S_P3,3,3,Pomacentrus brachialis
OCDA_FR1S,OCDA_FR1S_P3,3,1,Pomacentrus wardi
OCDA_FR1S,OCDA_FR1S_P1,1,5,Pomacentrus moluccensis
OCDA_FR1S,OCDA_FR1S_P1,1,3,Plectroglyphidodon leucozonus
OCDA_BA1D,OCDA_BA1D_P2,2,2,Amblyglyphidodon curacao
OCDA_BA1D,OCDA_BA1D_P2,2,3,Chrysiptera rollandi
OCDA_BA1D,OCDA_BA1D_P3,3,1,Amblyglyphidodon leucogaster
OCDA_BA1D,OCDA_BA1D_P3,3,15,Pomacentrus moluccensis
OCDA_BA1S,OCDA_BA1S_P4,4,30,Pomacentrus lepidogenys
OCDA_BA1S,OCDA_BA1S_P4,4,1,Amblyglyphidodon curacao
OCDA_BA1S,OCDA_BA1S_P4,4,3,Pomacentrus philippinus
OCDA_FR1S,OCDA_FR1S_P4,4,1,Pomacentrus wardi
OCDA_FR1S,OCDA_FR1S_P4,4,1,Plectroglyphidodon leucozonus
OCDA_FR1S,OCDA_FR1S_P2,2,1,Plectroglyphidodon leucozonus
OCDA_FR1S,OCDA_FR1S_P2,2,31,Chromis atripectoralis
OCDA_BA1S,OCDA_BA1S_P1,1,5,Chrysiptera rollandi
OCDA_BA1S,OCDA_BA1S_P1,1,1,Plectroglyphidodon lacrymatus
OCDA_BA1S,OCDA_BA1S_P1,1,15,Chromis atripectoralis
OCDA_BA1S,OCDA_BA1S_P2,2,1,Pomacentrus amboinensis
OCDA_BA1S,OCDA_BA1S_P2,2,1,Acanthochromis polyacanthus
OCCH_BA2S,OCCH_BA2S_P4,4,16,Pomacentrus lepidogenys
OCCH_BA2S,OCCH_BA2S_P4,4,8,Pomacentrus brachialis
OCCH_BA2S,OCCH_BA2S_P4,4,1,Chrysiptera talboti
OCCH_BA2S,OCCH_BA2S_P4,4,8,Chromis atripectoralis
OCCH_BA2S,OCCH_BA2S_P3,3,2,Pomacentrus brachialis
OCCH_BA2S,OCCH_BA2S_P1,1,3,Pomacentrus brachialis
OCDA_BA2D,OCDA_BA2D_P3,3,1,Pomacentrus moluccensis
OCDA_BA2D,OCDA_BA2D_P3,3,1,Pomacentrus amboinensis
OCDA_BA2D,OCDA_BA2D_P2,2,1,Amblyglyphidodon curacao
OCDA_BA2D,OCDA_BA2D_P2,2,1,Acanthochromis polyacanthus
OCCH_FL1S,OCCH_FL1S_P3,3,4,Acanthochromis polyacanthus
OCCH_FL1S,OCCH_FL1S_P3,3,3,Pomacentrus wardi
OCCH_FL1S,OCCH_FL1S_P4,4,2,Stegastes apicalis
OCCH_FL1S,OCCH_FL1S_P4,4,3,Pomacentrus bankanensis
OCCH_FL1S,OCCH_FL1S_P4,4,2,Pomacentrus bankanensis
OCCH_BA1S,OCCH_BA1S_P4,4,3,Pomacentrus moluccensis
OCDA_BA2S,OCDA_BA2S_P2,2,7,Pomacentrus lepidogenys
OCDA_BA2S,OCDA_BA2S_P1,1,1,Chrysiptera talboti
OCDA_BA2S,OCDA_BA2S_P1,1,1,Stegastes apicalis
OCDA_BA2S,OCDA_BA2S_P1,1,1,Neoglyphidodon nigroris
OCDA_BA2S,OCDA_BA2S_P1,1,1,Neoglyphidodon nigroris
OCDA_BA2S,OCDA_BA2S_P1,1,1,Acanthochromis polyacanthus
OCDA_BA2S,OCDA_BA2S_P1,1,200,Chromis lepidolepis
OCDA_BA2S,OCDA_BA2S_P1,1,2,Amblyglyphidodon curacao
OCDA_BA2S,OCDA_BA2S_P1,1,3,Plectroglyphidodon lacrymatus
OCDA_BA2S,OCDA_BA2S_P3,3,1,Neoglyphidodon nigroris
OCDA_BA2S,OCDA_BA2S_P3,3,58,Neopomacentrus azysron
OCDA_BA2S,OCDA_BA2S_P3,3,1,Amphiprion chrysopterus
OCDA_BA2S,OCDA_BA2S_P3,3,1,Dascyllus reticulatus
OCDA_BA2S,OCDA_BA2S_P4,4,1,Amblyglyphidodon curacao
PAPE_FR1S,PAPE_FR1S_P2,2,24,Pomacentrus moluccensis
PAPE_FR1S,PAPE_FR1S_P2,2,37,Pomacentrus moluccensis
PAPE_FR1S,PAPE_FR1S_P2,2,1,Pomacentrus wardi
PAPE_FR1S,PAPE_FR1S_P2,2,1,Stegastes apicalis
PAPE_FR1S,PAPE_FR1S_P2,2,27,Acanthochromis polyacanthus
PAPE_FR1S,PAPE_FR1S_P2,2,1,Amblyglyphidodon curacao
PAPE_FR1S,PAPE_FR1S_P4,4,1,Abudefduf bengalensis
PAPE_FR1S,PAPE_FR1S_P1,1,5,Pomacentrus lepidogenys
OCDA_FL1D,OCDA_FL1D_P1,1,4,Pomacentrus moluccensis
OCDA_FL1D,OCDA_FL1D_P1,1,1,Amblyglyphidodon leucogaster
OCDA_FL1D,OCDA_FL1D_P2,2,5,Pomacentrus brachialis
OCDA_FL1D,OCDA_FL1D_P2,2,2,Chrysiptera rollandi
OCDA_FL1D,OCDA_FL1D_P2,2,2,Dascyllus reticulatus
OCDA_FL1D,OCDA_FL1D_P3,3,2,Amblyglyphidodon curacao
